discount_id,order_id,discount_percentage,discount_code
DSC0142,ORD0360,0.3,REP_AUTH_30
DSC0143,ORD0361,0.25,REP_AUTH_25
DSC0144,ORD0362,0.25,REP_AUTH_25
DSC0145,ORD0365,0.25,REP_AUTH_25
DSC0146,ORD0367,0.2,PROMO20
DSC0147,ORD0369,0.25,REP_AUTH_25
DSC0148,ORD0372,0.2,REP_AUTH_20
DSC0149,ORD0375,0.1,PROMO10
DSC0150,ORD0378,0.1,PROMO10
DSC0151,ORD0379,0.1,PROMO10
DSC0152,ORD0380,0.1,PROMO10
DSC0153,ORD0381,0.15,PROMO15
DSC0154,ORD0383,0.25,REP_AUTH_25
DSC0155,ORD0388,0.4,REP_AUTH_40
DSC0156,ORD0393,0.05,PROMO5
DSC0157,ORD0396,0.2,REP_AUTH_20
DSC0158,ORD0398,0.25,REP_AUTH_25
DSC0159,ORD0400,0.05,PROMO5
DSC0160,ORD0403,0.15,PROMO15
DSC0161,ORD0404,0.15,PROMO15
DSC0162,ORD0405,0.05,PROMO5
DSC0163,ORD0406,0.4,REP_AUTH_40
DSC0164,ORD0408,0.15,PROMO15
DSC0165,ORD0409,0.05,PROMO5
DSC0166,ORD0410,0.15,PROMO15
DSC0167,ORD0413,0.15,PROMO15
DSC0168,ORD0414,0.05,PROMO5
DSC0169,ORD0417,0.25,REP_AUTH_25
DSC0170,ORD0418,0.2,REP_AUTH_20
DSC0171,ORD0420,0.3,REP_AUTH_30
DSC0172,ORD0421,0.05,PROMO5
DSC0173,ORD0423,0.3,REP_AUTH_30
DSC0174,ORD0425,0.05,PROMO5
DSC0175,ORD0426,0.2,REP_AUTH_20
DSC0176,ORD0427,0.15,PROMO15
DSC0177,ORD0428,0.1,PROMO10
DSC0178,ORD0430,0.05,PROMO5
DSC0179,ORD0431,0.05,PROMO5
DSC0180,ORD0432,0.05,PROMO5
DSC0181,ORD0433,0.05,PROMO5
DSC0182,ORD0442,0.5,REP_AUTH_50
DSC0183,ORD0444,0.15,PROMO15
DSC0184,ORD0445,0.15,PROMO15
DSC0185,ORD0452,0.1,PROMO10
DSC0186,ORD0453,0.05,PROMO5
DSC0187,ORD0454,0.2,REP_AUTH_20
DSC0188,ORD0458,0.3,REP_AUTH_30
DSC0189,ORD0461,0.25,REP_AUTH_25
DSC0190,ORD0464,0.05,PROMO5
DSC0191,ORD0466,0.15,PROMO15
DSC0192,ORD0467,0.05,PROMO5
DSC0193,ORD0468,0.1,PROMO10
DSC0194,ORD0469,0.2,REP_AUTH_20
DSC0195,ORD0470,0.3,REP_AUTH_30
DSC0196,ORD0473,0.2,PROMO20
DSC0197,ORD0480,0.15,PROMO15
DSC0198,ORD0481,0.15,PROMO15
DSC0199,ORD0482,0.1,PROMO10
DSC0200,ORD0483,0.05,PROMO5
DSC0201,ORD0486,0.3,REP_AUTH_30
DSC0202,ORD0487,0.05,PROMO5
DSC0203,ORD0489,0.25,REP_AUTH_25
DSC0204,ORD0497,0.05,PROMO5
DSC0205,ORD0498,0.4,REP_AUTH_40
DSC0206,ORD0506,0.4,REP_AUTH_40
DSC0207,ORD0510,0.25,REP_AUTH_25
DSC0208,ORD0512,0.15,PROMO15
DSC0209,ORD0516,0.1,PROMO10
DSC0210,ORD0518,0.05,PROMO5
DSC0211,ORD0519,0.2,PROMO20
DSC0212,ORD0521,0.05,PROMO5
DSC0213,ORD0525,0.05,PROMO5
DSC0214,ORD0526,0.05,PROMO5
DSC0215,ORD0529,0.05,PROMO5
DSC0216,ORD0530,0.3,REP_AUTH_30
DSC0217,ORD0532,0.05,PROMO5
DSC0218,ORD0540,0.15,PROMO15
DSC0219,ORD0541,0.3,REP_AUTH_30
DSC0220,ORD0542,0.05,PROMO5
DSC0221,ORD0543,0.2,PROMO20
DSC0222,ORD0546,0.05,PROMO5
DSC0223,ORD0548,0.2,REP_AUTH_20
DSC0224,ORD0549,0.1,PROMO10
DSC0225,ORD0551,0.05,PROMO5
DSC0226,ORD0552,0.25,REP_AUTH_25
DSC0227,ORD0553,0.05,PROMO5
DSC0228,ORD0556,0.15,PROMO15
DSC0229,ORD0557,0.4,REP_AUTH_40
DSC0230,ORD0558,0.05,PROMO5
DSC0231,ORD0562,0.25,REP_AUTH_25
DSC0232,ORD0566,0.5,REP_AUTH_50
DSC0233,ORD0567,0.1,PROMO10
DSC0234,ORD0569,0.3,REP_AUTH_30
DSC0235,ORD0572,0.15,PROMO15
DSC0236,ORD0575,0.15,PROMO15
DSC0237,ORD0576,0.1,PROMO10
DSC0238,ORD0580,0.3,REP_AUTH_30
DSC0239,ORD0582,0.05,PROMO5
DSC0240,ORD0584,0.2,REP_AUTH_20
DSC0241,ORD0587,0.1,PROMO10
DSC0242,ORD0588,0.05,PROMO5
DSC0243,ORD0590,0.1,PROMO10
DSC0244,ORD0591,0.4,REP_AUTH_40
DSC0245,ORD0594,0.1,PROMO10
DSC0246,ORD0595,0.1,PROMO10
DSC0247,ORD0597,0.05,PROMO5
DSC0248,ORD0601,0.1,PROMO10
DSC0249,ORD0602,0.15,PROMO15
DSC0250,ORD0603,0.2,REP_AUTH_20
DSC0251,ORD0606,0.1,PROMO10
DSC0252,ORD0607,0.05,PROMO5
DSC0253,ORD0609,0.1,PROMO10
DSC0254,ORD0611,0.1,PROMO10
DSC0255,ORD0613,0.15,PROMO15
DSC0256,ORD0614,0.1,PROMO10
DSC0257,ORD0615,0.05,PROMO5
DSC0258,ORD0617,0.4,REP_AUTH_40
DSC0259,ORD0620,0.2,REP_AUTH_20
DSC0260,ORD0623,0.4,REP_AUTH_40
DSC0261,ORD0624,0.1,PROMO10
DSC0262,ORD0626,0.1,PROMO10
DSC0263,ORD0631,0.05,PROMO5
DSC0264,ORD0636,0.25,REP_AUTH_25
DSC0265,ORD0637,0.15,PROMO15
DSC0266,ORD0638,0.5,REP_AUTH_50
DSC0267,ORD0640,0.15,PROMO15
DSC0268,ORD0644,0.05,PROMO5
DSC0269,ORD0647,0.05,PROMO5
DSC0270,ORD0649,0.05,PROMO5
DSC0271,ORD0650,0.05,PROMO5
DSC0272,ORD0651,0.3,REP_AUTH_30
DSC0273,ORD0654,0.1,PROMO10
DSC0274,ORD0656,0.15,PROMO15
DSC0275,ORD0660,0.3,REP_AUTH_30
DSC0276,ORD0662,0.15,PROMO15
DSC0277,ORD0663,0.05,PROMO5
DSC0278,ORD0668,0.05,PROMO5
DSC0279,ORD0669,0.05,PROMO5
DSC0280,ORD0670,0.1,PROMO10
DSC0281,ORD0671,0.05,PROMO5
DSC0282,ORD0672,0.05,PROMO5
DSC0283,ORD0677,0.05,PROMO5
DSC0284,ORD0683,0.05,PROMO5
DSC0285,ORD0685,0.1,PROMO10
DSC0286,ORD0687,0.4,REP_AUTH_40
DSC0287,ORD0689,0.15,PROMO15
DSC0288,ORD0693,0.1,PROMO10
DSC0289,ORD0695,0.05,PROMO5
DSC0290,ORD0696,0.1,PROMO10
DSC0291,ORD0702,0.1,PROMO10
DSC0292,ORD0704,0.05,PROMO5
DSC0293,ORD0705,0.1,PROMO10
DSC0294,ORD0708,0.1,PROMO10
DSC0295,ORD0710,0.15,PROMO15
DSC0296,ORD0714,0.5,REP_AUTH_50
DSC0297,ORD0718,0.2,REP_AUTH_20
DSC0298,ORD0719,0.15,PROMO15
DSC0299,ORD0721,0.1,PROMO10
DSC0300,ORD0726,0.05,PROMO5
DSC0301,ORD0727,0.5,REP_AUTH_50
DSC0302,ORD0728,0.2,PROMO20
DSC0303,ORD0731,0.3,REP_AUTH_30
DSC0304,ORD0733,0.1,PROMO10
DSC0305,ORD0734,0.4,REP_AUTH_40
DSC0306,ORD0741,0.25,REP_AUTH_25
DSC0307,ORD0743,0.1,PROMO10
DSC0308,ORD0744,0.3,REP_AUTH_30
DSC0309,ORD0746,0.25,REP_AUTH_25
DSC0310,ORD0750,0.3,REP_AUTH_30
DSC0311,ORD0751,0.2,REP_AUTH_20
DSC0312,ORD0754,0.15,PROMO15
DSC0313,ORD0756,0.2,REP_AUTH_20
DSC0314,ORD0757,0.3,REP_AUTH_30
DSC0315,ORD0762,0.05,PROMO5
DSC0316,ORD0763,0.3,REP_AUTH_30
DSC0317,ORD0765,0.1,PROMO10
DSC0318,ORD0766,0.15,PROMO15
DSC0319,ORD0769,0.15,PROMO15
DSC0320,ORD0773,0.1,PROMO10
DSC0321,ORD0774,0.05,PROMO5
DSC0322,ORD0775,0.3,REP_AUTH_30
DSC0323,ORD0779,0.15,PROMO15
DSC0324,ORD0780,0.05,PROMO5
DSC0325,ORD0782,0.1,PROMO10
DSC0326,ORD0785,0.1,PROMO10
DSC0327,ORD0786,0.15,PROMO15
DSC0328,ORD0787,0.25,REP_AUTH_25
DSC0329,ORD0792,0.25,REP_AUTH_25
DSC0330,ORD0793,0.3,REP_AUTH_30
DSC0331,ORD0795,0.15,PROMO15
DSC0332,ORD0799,0.5,REP_AUTH_50
DSC0333,ORD0802,0.05,PROMO5
DSC0334,ORD0803,0.05,PROMO5
DSC0335,ORD0806,0.15,PROMO15
DSC0336,ORD0807,0.25,REP_AUTH_25
DSC0337,ORD0810,0.25,REP_AUTH_25
DSC0338,ORD0816,0.1,PROMO10
DSC0339,ORD0821,0.4,REP_AUTH_40
DSC0340,ORD0823,0.1,PROMO10
DSC0341,ORD0824,0.05,PROMO5
DSC0342,ORD0825,0.25,REP_AUTH_25
DSC0343,ORD0826,0.2,PROMO20
DSC0344,ORD0827,0.1,PROMO10
DSC0345,ORD0829,0.25,REP_AUTH_25
DSC0346,ORD0833,0.2,PROMO20
DSC0347,ORD0835,0.05,PROMO5
DSC0348,ORD0836,0.1,PROMO10
DSC0349,ORD0838,0.2,PROMO20
DSC0350,ORD0840,0.15,PROMO15
DSC0351,ORD0841,0.05,PROMO5
DSC0352,ORD0842,0.2,PROMO20
DSC0353,ORD0844,0.15,PROMO15
DSC0354,ORD0845,0.5,REP_AUTH_50
DSC0355,ORD0846,0.05,PROMO5
DSC0356,ORD0848,0.3,REP_AUTH_30
DSC0357,ORD0849,0.15,PROMO15
DSC0358,ORD0852,0.2,REP_AUTH_20
DSC0359,ORD0853,0.05,PROMO5
DSC0360,ORD0854,0.05,PROMO5
DSC0361,ORD0857,0.2,REP_AUTH_20
DSC0362,ORD0858,0.4,REP_AUTH_40
DSC0363,ORD0862,0.2,PROMO20
DSC0364,ORD0865,0.4,REP_AUTH_40
DSC0365,ORD0869,0.2,REP_AUTH_20
DSC0366,ORD0872,0.15,PROMO15
DSC0367,ORD0873,0.05,PROMO5
DSC0368,ORD0877,0.5,REP_AUTH_50
DSC0369,ORD0879,0.3,REP_AUTH_30
DSC0370,ORD0880,0.1,PROMO10
DSC0371,ORD0881,0.05,PROMO5
DSC0372,ORD0883,0.15,PROMO15
DSC0373,ORD0884,0.15,PROMO15
DSC0374,ORD0889,0.1,PROMO10
DSC0375,ORD0892,0.4,REP_AUTH_40
DSC0376,ORD0893,0.25,REP_AUTH_25
DSC0377,ORD0895,0.05,PROMO5
DSC0378,ORD0899,0.4,REP_AUTH_40
DSC0379,ORD0902,0.2,PROMO20
DSC0380,ORD0908,0.1,PROMO10
DSC0381,ORD0909,0.05,PROMO5
DSC0382,ORD0910,0.3,REP_AUTH_30
DSC0383,ORD0911,0.05,PROMO5
DSC0384,ORD0915,0.25,REP_AUTH_25
DSC0385,ORD0918,0.1,PROMO10
DSC0386,ORD0922,0.05,PROMO5
DSC0387,ORD0924,0.4,REP_AUTH_40
DSC0388,ORD0929,0.15,PROMO15
DSC0389,ORD0930,0.1,PROMO10
DSC0390,ORD0931,0.05,PROMO5
DSC0391,ORD0934,0.1,PROMO10
DSC0392,ORD0936,0.05,PROMO5
DSC0393,ORD0937,0.1,PROMO10
DSC0394,ORD0938,0.05,PROMO5
DSC0395,ORD0939,0.2,PROMO20
DSC0396,ORD0942,0.2,REP_AUTH_20
DSC0397,ORD0945,0.3,REP_AUTH_30
DSC0398,ORD0947,0.3,REP_AUTH_30
DSC0399,ORD0951,0.2,REP_AUTH_20
DSC0400,ORD0959,0.1,PROMO10
DSC0401,ORD0960,0.2,REP_AUTH_20
DSC0402,ORD0961,0.15,PROMO15
DSC0403,ORD0966,0.05,PROMO5
DSC0404,ORD0968,0.1,PROMO10
DSC0405,ORD0976,0.05,PROMO5
DSC0406,ORD0977,0.05,PROMO5
DSC0407,ORD0983,0.05,PROMO5
DSC0408,ORD0984,0.05,PROMO5
DSC0409,ORD0986,0.3,REP_AUTH_30
DSC0410,ORD0987,0.3,REP_AUTH_30
DSC0411,ORD0989,0.2,PROMO20
DSC0412,ORD0990,0.05,PROMO5
DSC0413,ORD0997,0.05,PROMO5
DSC0414,ORD0999,0.05,PROMO5
DSC0415,ORD1004,0.3,REP_AUTH_30
DSC0416,ORD1010,0.05,PROMO5
DSC0417,ORD1012,0.3,REP_AUTH_30
DSC0418,ORD1014,0.05,PROMO5
DSC0419,ORD1016,0.3,REP_AUTH_30
DSC0420,ORD1017,0.15,PROMO15
DSC0421,ORD1018,0.05,PROMO5
DSC0422,ORD1022,0.2,REP_AUTH_20
DSC0423,ORD1024,0.05,PROMO5
DSC0424,ORD1025,0.05,PROMO5
DSC0425,ORD1026,0.1,PROMO10
DSC0426,ORD1033,0.25,REP_AUTH_25
DSC0427,ORD1036,0.05,PROMO5
DSC0428,ORD1038,0.05,PROMO5
DSC0429,ORD1039,0.05,PROMO5
DSC0430,ORD1043,0.25,REP_AUTH_25
DSC0431,ORD1044,0.25,REP_AUTH_25
DSC0432,ORD1050,0.05,PROMO5
DSC0433,ORD1051,0.2,PROMO20
DSC0434,ORD1055,0.2,REP_AUTH_20
DSC0435,ORD1056,0.3,REP_AUTH_30
DSC0436,ORD1060,0.05,PROMO5
DSC0437,ORD1061,0.4,REP_AUTH_40
DSC0438,ORD1062,0.15,PROMO15
DSC0439,ORD1064,0.15,PROMO15
DSC0440,ORD1068,0.15,PROMO15
DSC0441,ORD1070,0.4,REP_AUTH_40
DSC0442,ORD1071,0.05,PROMO5
DSC0443,ORD1072,0.3,REP_AUTH_30
DSC0444,ORD1073,0.1,PROMO10
DSC0445,ORD1074,0.05,PROMO5
DSC0446,ORD1076,0.05,PROMO5
DSC0447,ORD1079,0.25,REP_AUTH_25
DSC0448,ORD1080,0.15,PROMO15
DSC0449,ORD1081,0.05,PROMO5
DSC0450,ORD1082,0.05,PROMO5
DSC0451,ORD1092,0.1,PROMO10
DSC0452,ORD1100,0.15,PROMO15
DSC0453,ORD1104,0.05,PROMO5
DSC0454,ORD1105,0.1,PROMO10
DSC0455,ORD1109,0.05,PROMO5
DSC0456,ORD1111,0.15,PROMO15
DSC0457,ORD1113,0.2,PROMO20
DSC0458,ORD1117,0.1,PROMO10
DSC0459,ORD1119,0.4,REP_AUTH_40
DSC0460,ORD1120,0.3,REP_AUTH_30
DSC0461,ORD1121,0.05,PROMO5
DSC0462,ORD1122,0.05,PROMO5
DSC0463,ORD1123,0.2,PROMO20
DSC0464,ORD1125,0.1,PROMO10
DSC0465,ORD1126,0.2,REP_AUTH_20
DSC0466,ORD1128,0.4,REP_AUTH_40
DSC0467,ORD1130,0.15,PROMO15
DSC0468,ORD1132,0.2,REP_AUTH_20
DSC0469,ORD1133,0.2,REP_AUTH_20
DSC0470,ORD1134,0.2,REP_AUTH_20
DSC0471,ORD1139,0.25,REP_AUTH_25
DSC0472,ORD1141,0.1,PROMO10
DSC0473,ORD1142,0.1,PROMO10
DSC0474,ORD1144,0.2,PROMO20
DSC0475,ORD1146,0.5,REP_AUTH_50
DSC0476,ORD1147,0.15,PROMO15
DSC0477,ORD1149,0.05,PROMO5
DSC0478,ORD1150,0.2,PROMO20
DSC0479,ORD1152,0.05,PROMO5
DSC0480,ORD1156,0.05,PROMO5
DSC0481,ORD1159,0.2,REP_AUTH_20
DSC0482,ORD1162,0.05,PROMO5
DSC0483,ORD1164,0.05,PROMO5
DSC0484,ORD1165,0.05,PROMO5
DSC0485,ORD1169,0.2,PROMO20
DSC0486,ORD1171,0.4,REP_AUTH_40
DSC0487,ORD1174,0.05,PROMO5
DSC0488,ORD1175,0.2,REP_AUTH_20
DSC0489,ORD1176,0.1,PROMO10
DSC0490,ORD1177,0.05,PROMO5
DSC0491,ORD1179,0.2,PROMO20
DSC0492,ORD1181,0.15,PROMO15
DSC0493,ORD1182,0.1,PROMO10
DSC0494,ORD1183,0.15,PROMO15
DSC0495,ORD1184,0.2,REP_AUTH_20
DSC0496,ORD1185,0.15,PROMO15
DSC0497,ORD1189,0.05,PROMO5
DSC0498,ORD1190,0.05,PROMO5
DSC0499,ORD1192,0.15,PROMO15
DSC0500,ORD1194,0.1,PROMO10
DSC0501,ORD1195,0.3,REP_AUTH_30
DSC0502,ORD1198,0.15,PROMO15
DSC0503,ORD1200,0.5,REP_AUTH_50
DSC0504,ORD1201,0.05,PROMO5
DSC0505,ORD1202,0.15,PROMO15
DSC0506,ORD1204,0.05,PROMO5
DSC0507,ORD1205,0.05,PROMO5
DSC0508,ORD1206,0.05,PROMO5
DSC0509,ORD1207,0.2,REP_AUTH_20
DSC0510,ORD1211,0.05,PROMO5
DSC0511,ORD1212,0.4,REP_AUTH_40
DSC0512,ORD1218,0.05,PROMO5
DSC0513,ORD1219,0.1,PROMO10
DSC0514,ORD1222,0.1,PROMO10
DSC0515,ORD1224,0.25,REP_AUTH_25
DSC0516,ORD1227,0.2,REP_AUTH_20
DSC0517,ORD1228,0.1,PROMO10
DSC0518,ORD1232,0.4,REP_AUTH_40
DSC0519,ORD1236,0.3,REP_AUTH_30
DSC0520,ORD1240,0.25,REP_AUTH_25
DSC0521,ORD1241,0.05,PROMO5
DSC0522,ORD1242,0.25,REP_AUTH_25
DSC0523,ORD1244,0.15,PROMO15
DSC0524,ORD1246,0.3,REP_AUTH_30
DSC0525,ORD1249,0.25,REP_AUTH_25
DSC0526,ORD1250,0.4,REP_AUTH_40
DSC0527,ORD1258,0.05,PROMO5
DSC0528,ORD1261,0.2,REP_AUTH_20
DSC0529,ORD1264,0.2,REP_AUTH_20
DSC0530,ORD1266,0.2,PROMO20
DSC0531,ORD1271,0.15,PROMO15
DSC0532,ORD1273,0.05,PROMO5
DSC0533,ORD1281,0.1,PROMO10
DSC0534,ORD1283,0.25,REP_AUTH_25
DSC0535,ORD1285,0.4,REP_AUTH_40
DSC0536,ORD1286,0.1,PROMO10
DSC0537,ORD1288,0.3,REP_AUTH_30
DSC0538,ORD1289,0.1,PROMO10
DSC0539,ORD1291,0.3,REP_AUTH_30
DSC0540,ORD1293,0.05,PROMO5
DSC0541,ORD1294,0.3,REP_AUTH_30
DSC0542,ORD1296,0.15,PROMO15
DSC0543,ORD1300,0.05,PROMO5
DSC0544,ORD1303,0.05,PROMO5
DSC0545,ORD1306,0.3,REP_AUTH_30
DSC0546,ORD1309,0.05,PROMO5
DSC0547,ORD1313,0.3,REP_AUTH_30
DSC0548,ORD1314,0.2,REP_AUTH_20
DSC0549,ORD1317,0.4,REP_AUTH_40
DSC0550,ORD1318,0.1,PROMO10
DSC0551,ORD1319,0.3,REP_AUTH_30
DSC0552,ORD1321,0.15,PROMO15
DSC0553,ORD1322,0.1,PROMO10
DSC0554,ORD1325,0.1,PROMO10
DSC0555,ORD1326,0.1,PROMO10
DSC0556,ORD1327,0.05,PROMO5
DSC0557,ORD1330,0.2,REP_AUTH_20
DSC0558,ORD1331,0.1,PROMO10
DSC0559,ORD1333,0.05,PROMO5
DSC0560,ORD1334,0.2,REP_AUTH_20
DSC0561,ORD1335,0.15,PROMO15
DSC0562,ORD1338,0.4,REP_AUTH_40
DSC0563,ORD1342,0.2,PROMO20
DSC0564,ORD1343,0.2,REP_AUTH_20
DSC0565,ORD1344,0.1,PROMO10
DSC0566,ORD1345,0.2,REP_AUTH_20
DSC0567,ORD1347,0.05,PROMO5
DSC0568,ORD1349,0.3,REP_AUTH_30
DSC0569,ORD1350,0.25,REP_AUTH_25
DSC0570,ORD1353,0.25,REP_AUTH_25
DSC0571,ORD1354,0.1,PROMO10
DSC0572,ORD1355,0.05,PROMO5
DSC0573,ORD1356,0.05,PROMO5
DSC0574,ORD1357,0.05,PROMO5
DSC0575,ORD1359,0.2,PROMO20
DSC0576,ORD1361,0.2,REP_AUTH_20
DSC0577,ORD1362,0.05,PROMO5
DSC0578,ORD1365,0.4,REP_AUTH_40
DSC0579,ORD1370,0.25,REP_AUTH_25
DSC0580,ORD1371,0.15,PROMO15
DSC0581,ORD1374,0.3,REP_AUTH_30
DSC0582,ORD1376,0.2,REP_AUTH_20
DSC0583,ORD1377,0.05,PROMO5
DSC0584,ORD1381,0.05,PROMO5
DSC0585,ORD1385,0.05,PROMO5
DSC0586,ORD1386,0.1,PROMO10
DSC0587,ORD1389,0.2,REP_AUTH_20
DSC0588,ORD1396,0.05,PROMO5
DSC0589,ORD1401,0.4,REP_AUTH_40
DSC0590,ORD1403,0.1,PROMO10
DSC0591,ORD1404,0.05,PROMO5
DSC0592,ORD1405,0.05,PROMO5
DSC0593,ORD1406,0.5,REP_AUTH_50
DSC0594,ORD1408,0.5,REP_AUTH_50
