spend_id,region_id,campaign_month,marketing_channel,spend_amount
MKT0068,REG01,2024-11,Email,4247.17
MKT0069,REG02,2024-11,SEO,2213.23
MKT0070,REG02,2024-11,PPC,2520.49
MKT0071,REG02,2024-11,Events,3068.82
MKT0072,REG02,2024-11,Email,2572.39
MKT0073,REG03,2024-11,SEO,1677.89
MKT0074,REG03,2024-11,PPC,2225.38
MKT0075,REG03,2024-11,Events,2051.05
MKT0076,REG03,2024-11,Email,1870.94
MKT0077,REG04,2024-11,SEO,1858.81
MKT0078,REG04,2024-11,PPC,2259.89
MKT0079,REG04,2024-11,Events,1670.66
MKT0080,REG04,2024-11,Email,1579.82
MKT0081,REG01,2024-12,SEO,4088.46
MKT0082,REG01,2024-12,PPC,3307.93
MKT0083,REG01,2024-12,Events,4381.5
MKT0084,REG01,2024-12,Email,3476.57
MKT0085,REG02,2024-12,SEO,2084.69
MKT0086,REG02,2024-12,PPC,2696.82
MKT0087,REG02,2024-12,Events,2766.24
MKT0088,REG02,2024-12,Email,2994.53
MKT0089,REG03,2024-12,SEO,2263.86
MKT0090,REG03,2024-12,PPC,1806.02
MKT0091,REG03,2024-12,Events,1667.19
MKT0092,REG03,2024-12,Email,1607.65
MKT0093,REG04,2024-12,SEO,1689.65
MKT0094,REG04,2024-12,PPC,1642.6
MKT0095,REG04,2024-12,Events,1835.99
MKT0096,REG04,2024-12,Email,1739.61
MKT0097,REG01,2025-01,SEO,2798.24
MKT0098,REG01,2025-01,PPC,2411.92
MKT0099,REG01,2025-01,Events,2512.9
MKT0100,REG01,2025-01,Email,2651.86
MKT0101,REG02,2025-01,SEO,2217.51
MKT0102,REG02,2025-01,PPC,1680.29
MKT0103,REG02,2025-01,Events,2111.88
MKT0104,REG02,2025-01,Email,1839.61
MKT0105,REG03,2025-01,SEO,1599.71
MKT0106,REG03,2025-01,PPC,1229.62
MKT0107,REG03,2025-01,Events,1710.81
MKT0108,REG03,2025-01,Email,1491.07
MKT0109,REG04,2025-01,SEO,1554.77
MKT0110,REG04,2025-01,PPC,1582.63
MKT0111,REG04,2025-01,Events,1356.56
MKT0112,REG04,2025-01,Email,1563.28
MKT0113,REG01,2025-02,SEO,2552.22
MKT0114,REG01,2025-02,PPC,3230.91
MKT0115,REG01,2025-02,Events,2701.59
MKT0116,REG01,2025-02,Email,2557.55
MKT0117,REG02,2025-02,SEO,2376.6
MKT0118,REG02,2025-02,PPC,2001.37
MKT0119,REG02,2025-02,Events,1789.01
MKT0120,REG02,2025-02,Email,2254.91
MKT0121,REG03,2025-02,SEO,1576.97
MKT0122,REG03,2025-02,PPC,1605.24
MKT0123,REG03,2025-02,Events,1620.25
MKT0124,REG03,2025-02,Email,1523.82
MKT0125,REG04,2025-02,SEO,1265.68
MKT0126,REG04,2025-02,PPC,1308.2
MKT0127,REG04,2025-02,Events,1756.6
MKT0128,REG04,2025-02,Email,1204.45
MKT0129,REG01,2025-03,SEO,3325.99
MKT0130,REG01,2025-03,PPC,2979.72
MKT0131,REG01,2025-03,Events,2449.74
MKT0132,REG01,2025-03,Email,2991.25
MKT0133,REG02,2025-03,SEO,1905.76
MKT0134,REG02,2025-03,PPC,2059.66
MKT0135,REG02,2025-03,Events,2369.31
MKT0136,REG02,2025-03,Email,2304.5
MKT0137,REG03,2025-03,SEO,1654.53
MKT0138,REG03,2025-03,PPC,1553.35
MKT0139,REG03,2025-03,Events,1791.71
MKT0140,REG03,2025-03,Email,1458.0
MKT0141,REG04,2025-03,SEO,1257.17
MKT0142,REG04,2025-03,PPC,1723.56
MKT0143,REG04,2025-03,Events,1765.65
MKT0144,REG04,2025-03,Email,1299.56
MKT0145,REG01,2025-04,SEO,2960.72
MKT0146,REG01,2025-04,PPC,3051.48
MKT0147,REG01,2025-04,Events,2747.8
MKT0148,REG01,2025-04,Email,2919.95
MKT0149,REG02,2025-04,SEO,1645.86
MKT0150,REG02,2025-04,PPC,2015.81
MKT0151,REG02,2025-04,Events,2109.23
MKT0152,REG02,2025-04,Email,2228.49
MKT0153,REG03,2025-04,SEO,1415.57
MKT0154,REG03,2025-04,PPC,1516.38
MKT0155,REG03,2025-04,Events,1315.26
MKT0156,REG03,2025-04,Email,1643.29
MKT0157,REG04,2025-04,SEO,1303.08
MKT0158,REG04,2025-04,PPC,1664.9
MKT0159,REG04,2025-04,Events,1619.68
MKT0160,REG04,2025-04,Email,1626.36
MKT0161,REG01,2025-05,SEO,2973.39
MKT0162,REG01,2025-05,PPC,2885.44
MKT0163,REG01,2025-05,Events,2606.28
MKT0164,REG01,2025-05,Email,3287.59
MKT0165,REG02,2025-05,SEO,1812.9
MKT0166,REG02,2025-05,PPC,1985.8
MKT0167,REG02,2025-05,Events,2126.77
MKT0168,REG02,2025-05,Email,2223.13
MKT0169,REG03,2025-05,SEO,1417.45
MKT0170,REG03,2025-05,PPC,1754.39
MKT0171,REG03,2025-05,Events,1717.36
MKT0172,REG03,2025-05,Email,1582.59
MKT0173,REG04,2025-05,SEO,1391.33
MKT0174,REG04,2025-05,PPC,1423.94
MKT0175,REG04,2025-05,Events,1671.44
MKT0176,REG04,2025-05,Email,1435.07
MKT0177,REG01,2025-06,SEO,3066.54
MKT0178,REG01,2025-06,PPC,2607.14
MKT0179,REG01,2025-06,Events,3443.49
MKT0180,REG01,2025-06,Email,2410.35
MKT0181,REG02,2025-06,SEO,1685.03
MKT0182,REG02,2025-06,PPC,1746.68
MKT0183,REG02,2025-06,Events,2183.47
MKT0184,REG02,2025-06,Email,2130.95
MKT0185,REG03,2025-06,SEO,1581.38
MKT0186,REG03,2025-06,PPC,1300.8
MKT0187,REG03,2025-06,Events,1729.75
MKT0188,REG03,2025-06,Email,1379.93
MKT0189,REG04,2025-06,SEO,1303.26
MKT0190,REG04,2025-06,PPC,1446.71
MKT0191,REG04,2025-06,Events,1553.39
MKT0192,REG04,2025-06,Email,1351.17
MKT0193,REG01,2025-07,SEO,2616.34
MKT0194,REG01,2025-07,PPC,2415.25
MKT0195,REG01,2025-07,Events,3421.3
MKT0196,REG01,2025-07,Email,2603.43
MKT0197,REG02,2025-07,SEO,1730.02
MKT0198,REG02,2025-07,PPC,2337.65
MKT0199,REG02,2025-07,Events,1669.75
MKT0200,REG02,2025-07,Email,2055.79
MKT0201,REG03,2025-07,SEO,1305.0
MKT0202,REG03,2025-07,PPC,1206.87
MKT0203,REG03,2025-07,Events,1208.07
MKT0204,REG03,2025-07,Email,1621.3
MKT0205,REG04,2025-07,SEO,1450.5
MKT0206,REG04,2025-07,PPC,1302.14
MKT0207,REG04,2025-07,Events,1616.17
MKT0208,REG04,2025-07,Email,1223.85
MKT0209,REG01,2025-08,SEO,2891.89
MKT0210,REG01,2025-08,PPC,2400.3
MKT0211,REG01,2025-08,Events,3502.27
MKT0212,REG01,2025-08,Email,3470.23
MKT0213,REG02,2025-08,SEO,2262.42
MKT0214,REG02,2025-08,PPC,1642.09
MKT0215,REG02,2025-08,Events,2064.57
MKT0216,REG02,2025-08,Email,1944.25
MKT0217,REG03,2025-08,SEO,1311.07
MKT0218,REG03,2025-08,PPC,1486.33
MKT0219,REG03,2025-08,Events,1371.02
MKT0220,REG03,2025-08,Email,1223.6
MKT0221,REG04,2025-08,SEO,1630.31
MKT0222,REG04,2025-08,PPC,1568.71
MKT0223,REG04,2025-08,Events,1229.94
MKT0224,REG04,2025-08,Email,1656.15
MKT0225,REG01,2025-09,SEO,3089.9
MKT0226,REG01,2025-09,PPC,2694.73
MKT0227,REG01,2025-09,Events,3315.62
MKT0228,REG01,2025-09,Email,3046.49
MKT0229,REG02,2025-09,SEO,1742.11
MKT0230,REG02,2025-09,PPC,1728.26
MKT0231,REG02,2025-09,Events,2269.08
MKT0232,REG02,2025-09,Email,1674.92
MKT0233,REG03,2025-09,SEO,1769.78
MKT0234,REG03,2025-09,PPC,1333.32
MKT0235,REG03,2025-09,Events,1711.31
MKT0236,REG03,2025-09,Email,1616.9
MKT0237,REG04,2025-09,SEO,1451.92
MKT0238,REG04,2025-09,PPC,1212.76
MKT0239,REG04,2025-09,Events,1517.33
MKT0240,REG04,2025-09,Email,1476.84
MKT0241,REG01,2025-10,SEO,4148.16
MKT0242,REG01,2025-10,PPC,3619.78
MKT0243,REG01,2025-10,Events,3558.34
MKT0244,REG01,2025-10,Email,3293.0
MKT0245,REG02,2025-10,SEO,2792.49
MKT0246,REG02,2025-10,PPC,2514.7
MKT0247,REG02,2025-10,Events,2954.16
MKT0248,REG02,2025-10,Email,2572.96
MKT0249,REG03,2025-10,SEO,1900.02
MKT0250,REG03,2025-10,PPC,1661.24
MKT0251,REG03,2025-10,Events,1779.48
MKT0252,REG03,2025-10,Email,2112.8
MKT0253,REG04,2025-10,SEO,2116.32
MKT0254,REG04,2025-10,PPC,1836.11
MKT0255,REG04,2025-10,Events,1571.49
MKT0256,REG04,2025-10,Email,1813.94
MKT0257,REG01,2025-11,SEO,3842.32
MKT0258,REG01,2025-11,PPC,3431.82
MKT0259,REG01,2025-11,Events,3780.91
MKT0260,REG01,2025-11,Email,3813.72
MKT0261,REG02,2025-11,SEO,2522.64
MKT0262,REG02,2025-11,PPC,2232.48
MKT0263,REG02,2025-11,Events,2311.85
MKT0264,REG02,2025-11,Email,2195.78
MKT0265,REG03,2025-11,SEO,2326.77
MKT0266,REG03,2025-11,PPC,2251.13
MKT0267,REG03,2025-11,Events,2173.47
MKT0268,REG03,2025-11,Email,1649.44
MKT0269,REG04,2025-11,SEO,2061.47
MKT0270,REG04,2025-11,PPC,2178.2
MKT0271,REG04,2025-11,Events,1762.0
MKT0272,REG04,2025-11,Email,2115.79
MKT0273,REG01,2025-12,SEO,4625.4
MKT0274,REG01,2025-12,PPC,3587.49
MKT0275,REG01,2025-12,Events,4584.36
MKT0276,REG01,2025-12,Email,4236.05
MKT0277,REG02,2025-12,SEO,2484.65
MKT0278,REG02,2025-12,PPC,2367.06
MKT0279,REG02,2025-12,Events,2929.81
MKT0280,REG02,2025-12,Email,2200.96
MKT0281,REG03,2025-12,SEO,2144.12
MKT0282,REG03,2025-12,PPC,1918.62
MKT0283,REG03,2025-12,Events,1921.86
MKT0284,REG03,2025-12,Email,2073.62
MKT0285,REG04,2025-12,SEO,1862.92
MKT0286,REG04,2025-12,PPC,1842.37
MKT0287,REG04,2025-12,Events,2301.8
MKT0288,REG04,2025-12,Email,2257.55
MKT0289,REG01,2026-01,SEO,3302.46
MKT0290,REG01,2026-01,PPC,2906.39
MKT0291,REG01,2026-01,Events,3231.06
MKT0292,REG01,2026-01,Email,3348.05
MKT0293,REG02,2026-01,SEO,2083.52
MKT0294,REG02,2026-01,PPC,1744.05
MKT0295,REG02,2026-01,Events,2379.74
MKT0296,REG02,2026-01,Email,2255.03
MKT0297,REG03,2026-01,SEO,1728.0
MKT0298,REG03,2026-01,PPC,1685.31
MKT0299,REG03,2026-01,Events,1484.03
MKT0300,REG03,2026-01,Email,1715.01
MKT0301,REG04,2026-01,SEO,1260.05
MKT0302,REG04,2026-01,PPC,6818.15
MKT0303,REG04,2026-01,Events,1211.86
MKT0304,REG04,2026-01,Email,1251.93
MKT0305,REG01,2026-02,SEO,3415.48
MKT0306,REG01,2026-02,PPC,3143.67
MKT0307,REG01,2026-02,Events,3077.56
MKT0308,REG01,2026-02,Email,2606.92
MKT0309,REG02,2026-02,SEO,2157.87
MKT0310,REG02,2026-02,PPC,1632.94
MKT0311,REG02,2026-02,Events,1734.96
MKT0312,REG02,2026-02,Email,2048.29
MKT0313,REG03,2026-02,SEO,1467.18
MKT0314,REG03,2026-02,PPC,1359.97
MKT0315,REG03,2026-02,Events,1360.39
MKT0316,REG03,2026-02,Email,1661.15
MKT0317,REG04,2026-02,SEO,1300.93
MKT0318,REG04,2026-02,PPC,6437.7
MKT0319,REG04,2026-02,Events,1457.04
MKT0320,REG04,2026-02,Email,1401.14
MKT0321,REG01,2026-03,SEO,2635.64
MKT0322,REG01,2026-03,PPC,3388.7
MKT0323,REG01,2026-03,Events,3087.12
MKT0324,REG01,2026-03,Email,2938.36
MKT0325,REG02,2026-03,SEO,2208.68
MKT0326,REG02,2026-03,PPC,1608.62
MKT0327,REG02,2026-03,Events,1887.15
MKT0328,REG02,2026-03,Email,1834.74
MKT0329,REG03,2026-03,SEO,1521.64
MKT0330,REG03,2026-03,PPC,1647.21
MKT0331,REG03,2026-03,Events,1427.1
MKT0332,REG03,2026-03,Email,1656.64
MKT0333,REG04,2026-03,SEO,1450.81
MKT0334,REG04,2026-03,PPC,6841.56
MKT0335,REG04,2026-03,Events,1368.52
MKT0336,REG04,2026-03,Email,1480.57
MKT0337,REG01,2026-04,SEO,2637.43
MKT0338,REG01,2026-04,PPC,2920.65
MKT0339,REG01,2026-04,Events,3247.32
MKT0340,REG01,2026-04,Email,2475.86
MKT0341,REG02,2026-04,SEO,1609.67
MKT0342,REG02,2026-04,PPC,2365.82
MKT0343,REG02,2026-04,Events,2076.5
MKT0344,REG02,2026-04,Email,1781.71
MKT0345,REG03,2026-04,SEO,1724.64
MKT0346,REG03,2026-04,PPC,1575.49
MKT0347,REG03,2026-04,Events,1387.77
MKT0348,REG03,2026-04,Email,1645.15
MKT0349,REG04,2026-04,SEO,1360.75
MKT0350,REG04,2026-04,PPC,1254.82
MKT0351,REG04,2026-04,Events,1635.67
MKT0352,REG04,2026-04,Email,1340.67
MKT0353,REG01,2026-05,SEO,3336.28
MKT0354,REG01,2026-05,PPC,3124.09
MKT0355,REG01,2026-05,Events,3402.27
MKT0356,REG01,2026-05,Email,2439.0
MKT0357,REG02,2026-05,SEO,2224.81
MKT0358,REG02,2026-05,PPC,1981.56
MKT0359,REG02,2026-05,Events,1662.12
MKT0360,REG02,2026-05,Email,2137.57
MKT0361,REG03,2026-05,SEO,1229.95
MKT0362,REG03,2026-05,PPC,1493.24
MKT0363,REG03,2026-05,Events,1588.53
MKT0364,REG03,2026-05,Email,1446.34
MKT0365,REG04,2026-05,SEO,1256.32
MKT0366,REG04,2026-05,PPC,1333.28
MKT0367,REG04,2026-05,Events,1503.11
MKT0368,REG04,2026-05,Email,1743.92
MKT0369,REG01,2026-06,SEO,2714.31
MKT0370,REG01,2026-06,PPC,2654.73
MKT0371,REG01,2026-06,Events,2461.48
MKT0372,REG01,2026-06,Email,3273.29
MKT0373,REG02,2026-06,SEO,1665.88
MKT0374,REG02,2026-06,PPC,2201.95
MKT0375,REG02,2026-06,Events,2274.59
MKT0376,REG02,2026-06,Email,2370.42
MKT0377,REG03,2026-06,SEO,1410.84
MKT0378,REG03,2026-06,PPC,1449.38
MKT0379,REG03,2026-06,Events,1737.66
MKT0380,REG03,2026-06,Email,1709.45
MKT0381,REG04,2026-06,SEO,1278.82
MKT0382,REG04,2026-06,PPC,1726.1
MKT0383,REG04,2026-06,Events,1653.01
MKT0384,REG04,2026-06,Email,1442.48
