return_id,order_id,return_date,return_reason
RET176,ORD1363,2026-04-24,Unsatisfied
RET177,ORD1368,2026-05-05,Wrong Item
RET178,ORD1372,2026-05-05,Defective
RET179,ORD1377,2026-05-10,Unsatisfied
RET180,ORD1382,2026-05-11,Wrong Item
RET181,ORD1401,2026-05-17,Defective
RET182,ORD1422,2026-05-20,Defective
RET183,ORD1424,2026-05-27,Defective
RET184,ORD1428,2026-05-21,Unsatisfied
RET185,ORD1429,2026-05-21,Unsatisfied
RET186,ORD1430,2026-05-19,Defective
RET187,ORD1433,2026-05-24,Defective
RET188,ORD1443,2026-06-10,Wrong Item
RET189,ORD1451,2026-05-31,Defective
RET190,ORD1452,2026-06-08,Late Delivery
RET191,ORD1458,2026-06-18,Late Delivery
RET192,ORD1459,2026-06-11,Late Delivery
RET193,ORD1471,2026-06-06,Defective
RET194,ORD1475,2026-06-20,Unsatisfied
RET195,ORD1476,2026-06-10,Defective
RET196,ORD1483,2026-06-11,Defective
RET197,ORD1487,2026-06-15,Defective
RET198,ORD1513,2026-06-27,Defective
RET199,ORD1527,2026-07-02,Defective
RET200,ORD1533,2026-07-07,Unsatisfied
RET201,ORD1537,2026-07-06,Wrong Item
